Characteristic Category Prop. "Weighted Prop." "Prop. (before)" "Weighted Prop. (before)" "Prop. (after)" "Weighted Prop. (after)" "# of Samples" P-value
AgeGrpB 4 0.376107382550336 0.205236755473453 0.428468727534148 0.243658068092341 0.34490145672665 0.18443168948166 3725 1.19857083202995e-08
AgeGrpB 3 0.306040268456376 0.277183625852 0.311286843997124 0.33036786064039 0.302913453299057 0.248384466243083 3725 1.19857083202995e-08
AgeGrpB 1 0.129395973154362 0.262009696326733 0.108554996405464 0.199041583384284 0.141816623821765 0.296106806910672 3725 1.19857083202995e-08
AgeGrpB 2 0.188456375838926 0.255569922347814 0.151689432063264 0.226932487882986 0.210368466152528 0.271077037364585 3725 1.19857083202995e-08
BMIgrp 3 0.336509665123877 0.314724826137499 0.350253807106599 0.339973643794316 0.328247602441151 0.300954742540425 3673 0.361412576796639
BMIgrp 2 0.316362646338143 0.34065885762466 0.319796954314721 0.330100608008885 0.314298169136879 0.346417067051497 3673 0.361412576796639
BMIgrp 4 0.33052001089028 0.332069188611231 0.31399564902103 0.316133085648389 0.340453356582389 0.340760346866344 3673 0.361412576796639
BMIgrp 1 0.0166076776476994 0.0125471276266111 0.0159535895576505 0.0137926625484093 0.0170008718395815 0.0118678435417342 3673 0.361412576796639
RaceEthn5 1 0.612612612612613 0.634242779725704 0.690697674418605 0.701216056026958 0.565783356578336 0.598012946436968 3441 2.7857678023864e-12
RaceEthn5 4 0.046788724208079 0.0526973204600203 0.0395348837209302 0.0420926017591864 0.0511390051139005 0.0584340442971063 3441 2.7857678023864e-12
RaceEthn5 2 0.136878814298169 0.11022009229873 0.102325581395349 0.0807459430328285 0.157601115760112 0.126164414768899 3441 2.7857678023864e-12
RaceEthn5 3 0.169427492008137 0.169382407492609 0.130232558139535 0.12980968872229 0.192933519293352 0.190789647559255 3441 2.7857678023864e-12
RaceEthn5 5 0.034292356873002 0.0334574000229367 0.0372093023255814 0.0461357104587373 0.0325430032543003 0.0265989469377723 3441 2.7857678023864e-12
MaritalStatus 4 0.109503003823048 0.0459938889952283 0.117432530999271 0.0523948333470029 0.104757747708424 0.0425420812274473 3662 0.16946537319054
MaritalStatus 1 0.486892408519934 0.506354390059791 0.493070751276441 0.544793169369926 0.483195111305107 0.485625686650589 3662 0.16946537319054
MaritalStatus 2 0.242217367558711 0.364413789643751 0.223194748358862 0.321101900805312 0.253601047577477 0.387770392375087 3662 0.16946537319054
MaritalStatus 3 0.161387220098307 0.0832379313012297 0.166301969365427 0.0817100964777586 0.158446093408992 0.0840618397468768 3662 0.16946537319054
Education 7 0.185417804478427 0.116040294553045 0.205090909090909 0.125718228748013 0.173589855706165 0.110817827291867 3662 0.144196267175304
Education 4 0.070999453850355 0.0870790771900079 0.0756363636363636 0.108062119550832 0.0682116309575864 0.0757560768924559 3662 0.144196267175304
Education 5 0.219006007646095 0.302978403821661 0.220363636363636 0.28432702573518 0.218189768255356 0.313043176888949 3662 0.144196267175304
Education 3 0.188694702348443 0.225989466133653 0.180363636363636 0.204262509263836 0.193703541757761 0.237713902222156 3662 0.144196267175304
Education 6 0.263517203713818 0.188642504945073 0.255272727272727 0.207878253233988 0.268473983384346 0.178262390381435 3662 0.144196267175304
Education 2 0.0505188421627526 0.0593163665026419 0.0458181818181818 0.0506322192980617 0.0533449934411893 0.0640025602247226 3662 0.144196267175304
Education 1 0.0218459858001092 0.0199538868539182 0.0174545454545455 0.0191196441700894 0.0244862264975951 0.0204040660984143 3662 0.144196267175304
IncomeRanges 1 0.0641176470588235 0.0492827529260207 0.0618637431480031 0.0419297621301738 0.06547338671691 0.0532421872108 3400 0.582738485680903
IncomeRanges 5 0.133529411764706 0.127141515694452 0.129209083790133 0.122264853225001 0.136128120584079 0.129767498116155 3400 0.582738485680903
IncomeRanges 8 0.200882352941176 0.23745279881557 0.212999216914644 0.270907141392606 0.193593970796043 0.219438323528985 3400 0.582738485680903
IncomeRanges 7 0.117058823529412 0.123783359386962 0.113547376664056 0.116259891030148 0.119170984455959 0.127834592331419 3400 0.582738485680903
IncomeRanges 9 0.0676470588235294 0.0653311333842356 0.0712607674236492 0.0712999841101957 0.06547338671691 0.0621170300538677 3400 0.582738485680903
IncomeRanges 4 0.13 0.113463956839026 0.129992169146437 0.105025750638524 0.130004710315591 0.118007757295185 3400 0.582738485680903
IncomeRanges 2 0.0558823529411765 0.0483000333051843 0.0540328895849648 0.0484351332834253 0.0569948186528497 0.0482272847460507 3400 0.582738485680903
IncomeRanges 3 0.0576470588235294 0.0509018396125065 0.0477682067345341 0.0458597614134119 0.0635892604804522 0.0536168950018467 3400 0.582738485680903
IncomeRanges 6 0.173235294117647 0.184342610036043 0.179326546593579 0.178017722776515 0.169571361281206 0.18774843171569 3400 0.582738485680903
